Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
906,34,29,48,30,4,27
907,28,29,18,4,17,16
908,29,38,6,25,8,34
909,6,37,29,32,18,42
910,13,37,25,12,30,46
911,2,14,12,3,25,17
912,1,9,17,20,22,49
913,48,14,12,1,17,23
914,4,49,29,23,31,1
915,10,12,3,48,36,4
916,44,16,27,33,31,11
917,30,34,38,4,6,27
918,24,21,13,37,39,6
919,45,36,11,44,42,16
920,44,11,22,5,15,47
921,1,46,25,27,17,36
922,36,8,22,31,44,12
923,31,6,34,4,44,49
924,23,2,9,18,33,32
925,5,23,13,9,2,4
926,45,33,40,21,35,5
927,10,38,5,7,14,45
928,14,6,33,11,5,49
929,46,49,13,8,43,47
930,15,48,5,8,30,1
931,3,45,26,40,47,32
932,5,3,44,26,42,9
933,18,46,11,41,5,10
934,28,38,23,15,35,3
935,1,25,20,17,22,4
936,44,49,20,30,15,6
937,41,14,48,8,6,49
938,37,43,6,46,17,7
939,35,39,19,47,43,20
940,6,19,47,9,31,36
941,13,33,40,9,12,36
942,43,33,3,44,29,37
943,31,8,2,6,10,19
944,31,44,35,32,7,43
945,8,31,37,49,2,6
946,2,22,30,5,41,27
947,49,21,17,32,34,11
948,17,23,43,1,28,47
949,28,40,19,4,41,14
950,24,11,14,44,41,16
951,25,10,44,27,31,11
952,35,18,12,2,17,7
953,38,28,31,15,6,32
954,39,11,21,13,47,30
955,30,34,11,40,33,19
956,13,26,33,27,31,21
957,44,25,2,29,46,45
958,5,12,38,2,14,48
959,20,34,15,7,3,17
960,48,11,45,12,30,32
961,33,28,19,9,17,10
962,4,29,47,1,30,43
963,23,3,13,25,19,32
964,31,37,27,47,22,45
965,8,37,13,25,36,21
966,15,1,35,17,11,21
967,40,32,45,24,48,26
968,21,45,19,38,27,18
969,21,34,4,49,9,46
970,40,33,29,27,13,39
971,8,22,48,27,21,16
972,28,3,22,45,39,26
973,28,11,14,29,13,33
974,19,44,22,23,12,32
975,26,41,4,46,30,16
976,19,42,1,32,33,47
977,25,23,38,46,27,5
978,11,24,19,4,41,20
979,15,49,28,25,23,47
980,12,22,15,31,25,32
981,41,5,48,43,21,32
982,23,49,17,45,32,24
983,29,17,1,46,25,31
